選手名,打数,安打,本塁打,打点
柳田　悠岐,546,163,22,85
近藤　健介,492,149,26,87
浅村　栄斗,522,143,26,78
中村　晃,511,140,5,37
中村　奨吾,508,112,11,48
万波　中正,533,141,25,74
外崎　修汰,503,131,12,54
中川　圭太,506,136,12,55
松本　剛,507,140,3,30
小深田　大翔,477,123,5,37
マキノン,464,120,15,50
ポランコ,447,108,26,75
辰己　涼介,434,114,9,43
今宮　健太,427,109,9,48
紅林　弘太郎,443,122,8,39
宗　佑磨,428,105,2,22
山口　航輝,421,99,14,57
野村　佑希,423,100,13,43
安田　尚憲,416,99,9,43
森　友哉,384,113,18,64
頓宮　裕真,401,123,16,49
マルティネス,386,95,15,66
小郷　裕哉,390,102,10,49
源田　壮亮,397,102,0,22
甲斐　拓也,366,74,10,44
清宮　幸太郎,356,87,10,41
岡島　豪郎,361,96,6,43
栗原　陵矢,352,84,13,49
牧原　大成,359,93,2,32
藤岡　裕大,310,86,1,22
柳町　達,311,80,0,34
岡　大海,319,90,7,33
杉本　裕太郎,339,82,16,41
島内　宏明,322,76,7,38
藤原　恭大,328,78,3,21
上川畑　大悟,293,62,0,18
茶野　篤政,312,74,1,23
村林　一輝,301,77,2,32
フランコ,312,69,12,32
中村　剛也,283,73,17,40
ゴンザレス,299,65,12,38
若月　健矢,286,73,6,17
三森　大貴,296,77,5,21
山　剛,261,53,2,19
鈴木　大地,250,61,5,27
古賀　悠斗,239,52,2,20
佐藤　都志也,239,52,4,22
周東　佑京,237,57,2,17
愛斗,257,55,4,15
鈴木　将平,242,58,0,15
野口　智哉,226,51,2,19
佐藤　龍世,209,55,3,16
阿部　寿樹,216,55,4,24
伏見　寅威,229,46,3,12
角中　勝也,216,64,9,39
太田　光,173,42,3,14
ペイトン,205,44,5,22
蛭間　拓哉,198,46,2,20
加藤　豪将,200,42,6,16
伊藤　裕季也,188,46,5,16
田村　龍弘,181,30,2,19
渡部　健人,192,41,6,25
友杉　篤輝,185,47,0,9
川瀬　晃,178,42,0,15
五十幡　亮汰,193,44,0,6
荻野　貴司,183,44,1,19
長谷川　信哉,180,40,4,12
岸　潤一郎,177,37,3,12
奈良間　大己,181,44,2,15
栗山　巧,157,34,7,19
セデーニョ,176,43,9,34
茶谷　健太,169,48,0,9
郡司　裕也,169,43,3,19
江越　大賀,150,27,5,13
平沢　大河,135,23,3,8
宜保　翔,147,41,0,9
ブロッソー,136,26,1,11
炭谷　銀仁朗,131,29,1,10
西野　真弘,122,24,0,8
柘植　世那,125,23,0,13
児玉　亮涼,122,27,0,8
安田　悠馬,110,24,3,7
アルカンタラ,113,23,4,10
池田　来翔,104,28,2,8
石川　慎吾,112,39,2,10
福田　周平,94,18,0,5
和田　康士朗,98,26,3,9
細川　凌平,97,21,1,10
平沼　翔太,102,25,2,6
西川　愛也,97,22,1,8
矢澤　宏太,96,17,1,4
井上　晴哉,95,17,1,8
廣岡　大志,90,18,1,9
石井　一成,83,14,0,4
